,Drift Rate,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,1.0967408931928397,2.670862408874874,0.5844087178075679,1.4368804770711827,0.32600606256727616,0.36648796168825326,171.61582998081195,3,15
0,2.085141460718445,1.6607836962343703,0.5495862198120256,1.1968900429504226,0.35440023495902323,0.42024769434748777,-116.77317559846733,4,15
0,1.7949745226017009,1.9217361921620981,0.6465760309418909,1.4300031015415815,0.3125299440301832,0.3531175989940232,21.895530158869164,5,15
0,2.08878099397336,2.067693539137165,0.599507217475094,1.0647210912124967,0.3454504716360277,0.4276982958021419,-123.3523642277707,6,15
0,2.000096822654716,3.4995849891434574,0.7087047151438379,1.2615556488341282,0.26937102949712516,0.3226988721534022,-128.97866103400318,1,16
0,1.4950569099900826,2.568894390649245,0.7713108276820253,0.9897987613347854,0.2387911975995533,0.3974706583595567,108.89645178950587,2,16
0,0.9885005783400554,3.1619225432701508,0.8771641158623691,1.2487414844523195,0.2161419622587492,0.3531332512460339,278.6409365290923,3,16
0,1.5379864574377877,3.5855737524029987,0.9368534172820553,1.3569606241782535,0.22815368662844066,0.3696644575638719,75.9451632768253,4,16
0,1.345972539713032,2.3899823239608264,0.7560130242642709,1.1693412595073491,0.23617200771793534,0.3405355664895231,178.37024823579117,5,16
0,1.4415570796787525,3.279375949148786,1.0538814425654577,1.1293884829149814,0.20217778843848638,0.35683997502314657,151.2835034013935,6,16
0,2.8187625769626323,4.108885361896424,1.0540040828949317,2.5407079170257165,0.2873533986870612,0.26174075701737815,-310.2820539187499,1,17
0,2.539177039504433,2.9568834214547026,0.8314203162453113,1.8802222281593242,0.31197945284826345,0.3119534552452534,-204.5572417204015,2,17
0,1.8562399595819101,3.447398632310525,0.7168900703140273,1.3999457740967656,0.3247129276930596,0.38862999521899155,-15.152104001212734,3,17
0,2.397495947877258,2.659090002912759,0.8274407918818878,1.5440156712748272,0.3131765299017025,0.3779305663540646,-149.387846009437,4,17
0,2.3857326788975226,2.9603021194729884,0.7855282563124981,1.7859437321385383,0.3342452521840713,0.3471763881475478,-157.017558312909,5,17
