,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,1.9576569595106106,1.9479402629868077,4.649207755661763,0.6931950924605959,1.0081308335857337,0.24025628856793907,0.31201277164218233,8,-56.38901717244686,6
0,0.7183960594177421,2.134669187419361,2.5037674487745334,0.7498003045989634,1.54555706585273,0.16248254339087304,0.322748967807594,9,83.28010113429363,1
0,0.21912711374560317,0.9282301641107134,2.4383601229125795,0.7287886843885132,2.120023398214741,0.1667045360402783,0.2239828347605326,9,221.2875902839341,2
0,0.0,0.40391651932075845,2.6606528036004855,0.7507749937626311,2.3189928931522408,0.17717221327593874,0.1526966135576377,9,275.91661267548585,3
0,0.5959098521274818,1.0555120149552064,1.3434000249594131,0.6204903908996333,1.5978154571434606,0.1907266779988704,0.18913283849582813,9,245.79055271063623,4
0,0.4948482021975991,1.3394011052466477,1.6027584224777705,0.6040775073368501,2.1639956694304443,0.20564647760179194,0.10389384867281193,9,189.15615008489968,5
0,0.3997366745102483,1.3069788348475273,1.401319790885658,0.5908575234762501,1.8650524011856637,0.22378074561799943,0.10022096473658793,9,205.00044002676484,6
0,4.295509783861559,2.85771855844999,4.243875485790955,0.5150972049457718,1.294704990518186,0.38871621525225125,0.35121045610769014,10,-257.0192472910911,1
0,2.1052415647630207,1.9899392630774406,2.671127310394038,0.5021114144341285,1.6472969228430099,0.3871884663394474,0.2979331336778129,10,-19.576394456563506,2
0,0.8633749533268329,1.3904740226988712,3.2509978433514584,0.5084654734663197,1.3014009872068115,0.3950009508106865,0.3453291924859393,10,51.74858898854073,3
0,3.354122770509058,2.106432112222777,-0.037379939055663385,0.5043085657825532,0.7354631258558002,0.38610066602733384,0.421449143364005,10,-116.82303881063405,4
0,3.1353278885278812,1.9674827232061984,3.545729242052157,0.5062800562031415,3.529671530373609,0.39098085036667585,0.12277888272077103,10,-87.0192475315985,5
0,3.2999167909623757,2.4195429430352866,2.74761746017546,0.5016486783693295,1.1626838846340606,0.3954820017636669,0.37700962390783044,10,-156.87800367465917,6
0,2.714986632048026,4.39253491857529,5.630541557599737,0.5850622532267478,1.1658162795824496,0.2956766622401052,0.34141079694487364,11,-547.1858754637149,1
0,1.4611340659977856,2.7196131766115172,4.018980051877838,0.6491738811041645,1.4359587431095693,0.2724654049839903,0.2955224758590923,11,-227.29677354068292,2
0,0.6593145516394964,1.9524864654539158,5.14113009180018,0.5799176151429544,1.0190448226332691,0.28039770773110856,0.35895461003285456,11,-69.34087591743682,3
0,2.2308916385263005,2.539877168213056,3.6027295855425545,0.6224837377038441,1.1254111964462945,0.27479622624451827,0.32621518019409385,11,-220.11034448622956,4
