,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,1.4314909195383614,1.2497669311201074,7.547690289241385,2.645144165524792,0.923546912812168,0.3019894041088734,0.333920187987416,13,46.490520183754725,2
0,0.4141552136689155,0.8293491779000801,7.506086661916052,2.143366319267915,0.9030335733615962,0.27728946818827055,0.30916666031749257,13,212.34071213581342,3
0,1.5285240769521784,1.6488404918754125,4.80943209953396,3.315105591351659,1.8097847137012577,0.16132551617426855,0.19885458210516538,13,121.08499199883924,4
0,1.442975843229316,1.7609899523597183,7.5267657812025375,3.3145026797731183,2.894820751522812,0.1680163370392982,0.10561792371059919,13,57.01969973080738,5
0,1.7787221401796909,1.5874439982860107,6.611063950952248,2.8686338772987185,2.187226762605547,0.2058313615799911,0.12356940191505489,13,69.56186015911763,6
0,2.0054450825258208,1.9268957624260037,7.521506725049061,1.9188038241700878,1.047022101347479,0.30453113758863914,0.31298388843236835,14,-92.69286070037975,1
0,1.4361317554286182,1.650560958174579,7.219040238224497,1.5710050599604557,0.8669531443052616,0.3329022870886884,0.3953996065528178,14,2.4020627445882496,2
0,0.3934737646408204,0.8698382338327948,7.787978309502683,2.7137311934746826,1.1955543436207643,0.30377653263608606,0.3063921027502673,14,239.92008699268,3
0,1.4680542986170002,1.5974256263266393,7.021064542801765,1.5016436101071973,1.0679459766351451,0.31139894703153537,0.3350884390013048,14,72.37229857300804,4
0,1.9502619128087595,1.5728458696490542,6.042570729342076,1.5604207462737583,1.0201744885402624,0.3159860570927746,0.3611089354523525,14,34.731225721386586,5
0,1.501779176248378,1.486128706838821,2.7021393716983977,2.042926714343609,0.9835980821193968,0.2647853924318016,0.3409448656970009,14,101.95217862675645,6
0,3.291106124996521,2.327485236624596,1.6160987650787995,-3.056113236386615,0.6724927454261103,0.28233382903470855,0.34344242320221896,15,-298.48165150762463,1
0,2.206802960398081,1.7214748065961012,7.237668974091832,2.155222828263133,1.119144604612932,0.29348730191184635,0.3445109667791535,15,-31.860315519170605,2
0,1.4577399987139361,1.331623740759396,8.494834770777992,2.3732103355086815,1.8758731323961801,0.2650502714373429,0.19132212578882923,15,156.1051265202334,3
0,1.933133245995212,2.120834636616353,3.6065952900578213,0.4132341849891574,0.9694984165087304,0.33304503881740843,0.4275148975935918,15,-95.94401150940826,4
0,1.644783449530476,1.5224730759742309,7.391343764840395,1.3179746047317846,2.1397323495458442,0.2468734337776966,0.12241714861457892,15,178.28995155452537,5
0,2.032364867820192,2.168607104642484,3.9255019394999744,-5.784769326768315,0.6659752647985591,0.34034648843072496,0.4505597986550566,15,30.15235290662426,6
0,2.41677163011466,2.404516812458722,7.965397315289654,0.8092652727847902,1.0053231296520164,0.31954726947684664,0.3633225293208916,16,-202.6534562161792,1
0,1.7892371958072246,2.1402919325204235,7.9395660902286656,2.6709494116637433,1.8007741937025603,0.26246276453708706,0.32268598293540907,16,-51.70963117238938,2
0,0.8321737330758279,1.2497725501878398,10.0,2.6093256676647987,1.5395567449088459,0.29909285513107214,0.3503811736863358,16,133.2655978585122,3
0,1.8930746682106356,2.1547912784481817,8.591847548679453,0.8337745003019505,1.0281942867617504,0.3386883572073102,0.44938301842029393,16,-116.14487788864457,4
0,1.6514998466816362,1.878770724946397,8.184740483039727,1.4839932162410598,1.3636220464273143,0.293890157667542,0.3564617532047885,16,-2.8099281236578264,5
0,2.205455264144263,2.1920173666799574,8.353214363228311,1.94234202065949,1.1707838287176462,0.32958380431370715,0.40388043135033397,16,-143.1250739957435,6
0,1.389319010817998,2.5105719782829756,8.027078080680699,3.2247250953834516,1.476207117033503,0.22150330256239692,0.3061851480840636,17,-140.59750018252566,1
0,1.0779669805139578,1.8309660924684357,4.524895997051325,2.173953354712112,0.9919213240075431,0.21661150373526017,0.3922584869866777,17,99.09309392557122,2
0,0.6325286536353403,1.2707525920331748,5.003132937367838,2.881622046988077,1.3101316225309172,0.17996317955116492,0.3454758445760463,17,264.2375274588961,3
0,1.0641773383830468,2.0144241020189666,6.282430907268709,2.949756025935006,1.4479754694438585,0.20467583311359194,0.3516615313832463,17,49.730225358043874,4
