,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.714366467250045,4.371244833248203,0.536631166698791,0.8369814590253629,0.2830718719247176,0.34349360968357345,-536.5104169463717,1,10
0,1.5177942812713368,2.751549615759067,0.5558383401427777,0.7387153566476552,0.26689896082177006,0.35146160005895744,-199.9478626522843,2,10
0,0.6662516502037619,1.848295316172994,0.5,0.6223636891015684,0.2728513903721974,0.3798869515096013,-41.23834885241321,3,10
0,2.1735611741540946,2.440521704378529,0.5721266376520977,0.7717432983284906,0.26716892198695863,0.34340292481053114,-211.34065769923015,4,10
0,2.5296507093703995,2.4144168019109062,0.5946658828521731,0.9341300460420373,0.2654121045982192,0.31908220903979634,-208.43102876431607,5,10
0,2.52137808035123,2.8452070028021548,0.5713832880797539,0.868082499223426,0.27191349247469937,0.3340663551998871,-286.4082000648109,6,10
0,3.5361128771897876,4.043423875786405,0.5181114213636037,0.6781631966053459,0.33110926133282115,0.36288248479224927,-619.007987183453,1,11
0,1.227168527707456,2.418717028822452,0.5,0.5960704737209545,0.3424521597036303,0.39688306816565533,-218.64697928291758,2,11
0,0.7907727156987802,1.3228657875310037,0.5,0.6209451901098763,0.32555228528021707,0.3736813168766854,-14.119563555644454,3,11
0,1.5719324146291256,2.4059865267549916,0.5079718011795623,0.8317469685020167,0.3331199089173218,0.3348237593181931,-158.48469687318317,4,11
0,2.092570040648671,2.8442480187247665,0.5043358015493727,0.8304869034566715,0.33060867388094484,0.37623186547086385,-280.22624835759274,5,11
0,2.388409897144424,2.391328841445291,0.5,0.7169674615585997,0.3593315732046409,0.37543943664997526,-272.47821227966983,6,11
0,2.3361867869771387,2.379588841979233,0.8156268971709351,0.7609547689483714,0.19722557547041192,0.3011466235581275,-150.38590747636488,1,12
0,1.5017424160651465,1.2271016232028997,0.5329029436417807,0.7161097393957988,0.31552085860953755,0.34891830108795996,69.38847144151455,2,12
0,0.45512633367041805,0.8280741138378636,0.5340273271778181,0.7306785748872188,0.2712593528242598,0.3134689707901551,251.20763482245349,3,12
0,1.4387746721177626,1.5151464170875277,0.8068806311458194,0.7579279215375702,0.17066447029479193,0.3152819799757065,182.8821039198531,4,12
0,1.6417857804192166,1.6370582257995892,0.5293693132537901,0.8161576490803637,0.32359750479780064,0.32290231464311536,102.81940770870804,5,12
0,1.6982044110145704,1.4402943183819195,0.7116266253680418,0.8815788534833885,0.24478198819487063,0.2587575709574613,145.79367364954322,6,12
0,1.9437883924859973,1.9363961742760938,0.592941502878852,0.812623613769694,0.3041708599777718,0.3497435773176735,-70.61568081477569,1,13
0,1.3873357218375275,1.6539142004163772,0.5430147787492415,0.7768074891546206,0.3334886786072311,0.39590283960490225,30.136936721609537,2,13
0,0.4957001039801171,0.8034779383476668,0.5324676697580571,0.7905424357621835,0.3300601684824024,0.3350201595252019,279.87293520541436,3,13
0,1.3600412838924307,1.5842439121788863,0.5695549499566575,0.880492860182424,0.3208384614320676,0.3533800904073484,101.21391365644766,4,13
0,1.8319729063031516,1.5509213726538695,0.6101275849839606,0.8426682741450936,0.328985212456867,0.38531604757626536,54.6272717481383,5,13
0,1.715869519115423,1.4448075153627336,0.642756233412551,0.7793313349028391,0.30332912399881584,0.3678515449610885,90.8227325656024,6,13
0,3.4382045983315366,2.5035589694114333,0.7698547377003325,0.7849832949845889,0.26306658744754635,0.35519477043325265,-306.3553469409379,1,14
0,2.0776352618910985,1.6439271665491457,0.5760555052284101,0.8458971741151147,0.31102675908643707,0.36559399088212885,-13.570130495250865,2,14
0,1.407960812442311,1.1030451829482113,0.5165453338639602,0.8900142618638965,0.34591813482933287,0.3216910299293868,178.86026913857432,3,14
0,2.3786014469739336,2.033628772529696,0.625553943971773,0.8788185913307639,0.36583109255224244,0.44341281987527825,-112.65762234174815,4,14
0,1.6456667456538274,1.5537490828264569,0.6501966536533336,1.5089687790487727,0.29687698456059947,0.12312617930422987,226.5007888165374,5,14
0,2.0330015934284926,1.6215024008361276,0.5945667593940401,1.0650167070633658,0.33358316259194765,0.3838153621964238,49.74392431928354,6,14
0,2.321538870571741,2.473313232370836,0.5633714154705107,1.0305891255376918,0.32580894506959646,0.34581500497620427,-183.86911125500058,1,15
0,1.6877789979151296,1.9996182073323976,0.6260411560113055,0.9322361643374891,0.2943009385909911,0.40421270936048626,5.471216372911783,2,15
0,0.8162889087556462,1.139472919088717,0.5065556274085237,0.8131334358298774,0.3238834590354871,0.4449256043768852,198.985290707209,3,15
0,1.9620879930083597,2.2015386205751546,0.5393847403318923,1.026127348591319,0.3400714417640456,0.4223659137167803,-100.37987423192416,4,15
0,1.6099029931972157,1.8877773708420675,0.5976155275547476,1.0510782924667097,0.30248740181997247,0.38148978754636265,44.25379431489595,5,15
0,1.9513471618398681,2.158594495041518,0.5699148703857334,0.8514991741164845,0.3340876330621654,0.4408689164658538,-109.96309904992911,6,15
0,1.4990620707455728,2.4697570032361216,0.5773546690728308,0.7164556645483033,0.2558538342285553,0.3938611740090654,-124.8936157240586,1,16
0,1.138991270664578,1.7883726085673293,0.6406190745056132,0.7763383492349754,0.22596107465790932,0.41001784908879096,118.2793285962407,2,16
0,0.7014344424723252,1.2222877190479762,0.6233416831053569,0.817923641305874,0.22976434548382962,0.3780082109753824,298.96393851166874,3,16
0,1.1231639326767984,1.9195527083864197,0.6558215943409098,0.8688513609733849,0.2171708474363503,0.39934800933982956,110.59366248332739,4,16
0,0.8184626197235882,1.8310467018324643,0.625941576968534,0.881057455524223,0.22536854193202466,0.38331626330295654,176.60853236657857,5,16
0,0.9701158257518986,1.9298941417890358,0.7216704371752625,0.8079171041032338,0.19409281183245813,0.3822871601039899,161.89374727385507,6,16
0,3.019903646301552,3.175173332310578,0.6159725258332146,1.1225556129684564,0.32688692043425416,0.3401350584127645,-323.6446572627132,1,17
0,2.5812605243636333,2.441877366210813,0.7198246891529945,0.9485687222233082,0.30930128202208307,0.3914131673781547,-175.9661761236596,2,17
0,1.6899037929382874,1.6646403818457012,0.5754852623493287,0.7387984936862706,0.32550985117089837,0.45398721255458474,8.237974426420351,3,17
0,2.167136902919014,2.6556665004070905,0.6933159867340561,1.0679319642662748,0.3021999345167114,0.40632972144470136,-124.58603631937197,4,17
0,2.4957571396125995,2.2555758761769087,0.7004454417376271,0.9435679858226838,0.32442771471634035,0.40756034204601166,-131.37112579032072,5,17
0,2.2421862791350815,2.4678573952024583,0.8647189886263069,1.367294415782202,0.2425231227746807,0.27494269660110265,-7.52826602843254,6,17
