,Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Self-excitation
197,5,1,8,1.7864434293888733,0.5263852531139044,0.19317445107779802,2.313787707282878
198,5,2,8,1.659168259493668,0.7290005292066781,0.22430493913115035,6.327009705145164
199,5,3,8,1.904065751355045,0.6752492415037845,0.27574291123490313,6.601040117131501
200,5,4,8,1.9701398863260458,7.614826739880803,0.16634591990195918,15.0
201,5,5,8,6.0,7.595431938793541,0.2493886382938466,8.87446525941052
202,1,1,9,0.3192903409244763,0.7440747331414945,0.10058321540889714,9.545148656783498
203,1,2,9,0.0,0.9732795917899915,0.10083429969030533,15.0
204,1,3,9,0.0,1.0783309892853308,0.10479253640927733,12.141056296646328
205,1,4,9,0.006977852897817205,0.6545847257352548,0.15850749719060658,12.262704865765555
206,1,5,9,0.01774880494940163,3.016662455573541,0.10603185904750317,4.973735621121281
207,2,1,9,0.2062610006736326,0.5128997226852965,0.10271366250926961,8.20474810951311
208,2,2,9,0.0,1.1228749136601857,0.10013628719515716,15.0
209,2,3,9,0.6056699350768912,1.034994347468344,0.108116870343886,14.34783192550883
210,2,4,9,0.0,1.5496124278064611,0.10379630436369641,14.66001583744599
211,2,5,9,0.2806973099236869,3.1709260823425423,0.10214283676532376,5.39381435181712
212,3,1,9,1.2405209435010973,0.7802384908097091,0.10392850425563249,15.0
213,3,2,9,0.09320781589934451,1.1273640190729193,0.10598293550560345,15.0
214,3,3,9,0.003108351296854681,0.9773814972844015,0.10479616897588839,13.133506053026302
215,3,4,9,0.0,1.0038461345813419,0.10880114648350148,10.837258759470952
216,3,5,9,0.0,4.974923156870122,0.10694788104643232,5.719226001997506
217,4,1,9,0.07471417641755941,0.978340712527856,0.11236445741641915,14.727118013868823
218,4,2,9,0.33237971899470775,1.2894925998173834,0.10538467110161576,14.493141220641064
219,4,3,9,0.0,0.7650897452911134,0.10873202750577743,10.286128798975762
220,4,4,9,0.15440376671810446,1.050369094390934,0.10903148928844675,10.188100854897682
221,4,5,9,0.0,1.8987350659442521,0.10767249061647483,3.8051967782485803
222,5,1,9,0.0031169570602904706,0.6084072009391623,0.11404932322295763,11.161094647782837
223,5,2,9,0.0,0.6761338274906379,0.10708158635127663,9.144006427690655
224,5,3,9,0.0,0.8472836336303446,0.12455639457212292,15.0
225,5,4,9,0.0,1.492140767007894,0.10576539317052869,13.898452198027117
226,5,5,9,0.3529921296860105,0.8059402797159416,0.3572299722461325,3.392783214859205
227,1,1,10,0.08307146406301524,2.0271807437680813,0.10730405885856126,15.0
